Time(minutes) Node
360 46855449_31156843
360 252347384_31156846
360 46855429_31156848
360 46855432_31156848
360 46855449_31156850
360 46855455_31156850
360 31156851_31156853
360 31156855_31156856
360 31156856_31156858
360 255160996_31156858
360 255160996_31156860
360 31156860_31156863
360 32690966_31156929
360 31156360_31158638
360 31158638_31158639
360 32551930_31158639
360 31158639_31158641
360 31158641_31158643
360 31158643_31158646
360 31158646_31158649
360 31158649_31158653
360 31158653_31158655
360 32551929_31158655
360 33125001_31158661
360 31158771_31158709
360 31158709_31158714
360 31158719_31158716
360 254518068_31158727
360 31158725_31158727
360 31158649_31158732
360 253965693_31158744
360 257587596_31158748
360 252342699_31158750
360 31158748_31158750
360 34555647_31158753
360 254508194_31158756
360 86687613_31158760
360 86681102_31158760
360 99702510_31158765
360 31158765_31158767
360 31158767_31158769
360 31158769_31158771
360 32597783_31158772
360 254518068_31158772
360 31158772_31158774
360 254518074_31158787
360 32599712_31158787
360 32913102_31158788
360 254518071_31158788
360 252407315_31158818
360 31158818_31158820
360 31158820_31158821
360 261042514_31158821
360 31158837_31158839
360 34819778_31158847
360 31158845_31158847
360 31158850_31158851
360 27167561_31174060
360 32329860_31174060
360 27167571_31174060
360 248885124_31717945
360 31718336_31717947
360 31717990_31717992
360 252026646_31718013
360 26195490_31718017
360 33391583_31718064
360 252025881_31718172
360 31897838_31718178
360 27282409_31718195
360 31930661_31718213
360 31718195_31718225
360 33311868_31718227
360 31897793_31718227
360 252026711_31718229
360 27282368_31718284
360 31718331_31718284
360 31718342_31718296
360 31718336_31718299
360 252026711_31718299
360 27282365_31718331
360 31718366_31718331
360 31718284_31718331
360 31717947_31718336
360 31718299_31718336
360 31718296_31718342
360 248885112_31718360
360 26083926_31718360
360 31803566_31803548
360 31803571_31803548
360 31803583_31803554
360 31803554_31803559
360 26405553_31803566
360 251946751_31803571
360 31803548_31803583
360 31803587_31803583
360 32676774_31803587
360 31803559_31803594
360 257439972_31803594
360 31803594_31803600
360 31803600_31803606
360 254378912_31803611
360 260816785_31803611
360 31803743_31803703
360 33810540_31803710
360 33810532_31803717
360 33810227_31803725
360 31803760_31803725
360 33628954_31803734
360 29273152_31803734
360 32828376_31803734
360 33234561_31803743
360 31803703_31803743
360 31803725_31803760
360 31803813_31803808
360 31803837_31803808
360 31718288_31803813
360 31718112_31803819
360 31803819_31803828
360 31930446_31803828
360 31803844_31803837
360 31803874_31803858
360 31803884_31803874
360 31803896_31803884
360 31803858_31803896
360 26195507_31807244
360 31807244_31807253
360 254513587_31884818
360 254513589_31884821
360 31888043_31888033
360 31888041_31888037
360 31888049_31888041
360 31888055_31888041
360 32022077_31888043
360 32124446_31888048
360 31888050_31888049
360 31888048_31888050
360 26118687_31897787
360 31897858_31897787
360 34167201_31897787
360 34469776_31897793
360 33311865_31897796
360 31884818_31897796
360 213964607_31897831
360 31897791_31897838
360 31718178_31897838
360 38432720_31897841
360 254513586_31897842
360 33242040_31897844
360 180760642_31897846
360 31897848_31897847
360 33242046_31897857
360 34166937_31897858
360 251945699_31899244
360 31906464_31906462
360 26118476_31906466
360 254513589_31906466
360 26515498_31907518
360 31907518_31907522
360 26118700_31908310
360 31908318_31908312
360 31908310_31908314
360 26118712_31908323
360 31917338_31917339
360 33242035_31917346
360 31917351_31917348
360 33242043_31917349
360 27167006_31917350
360 27166998_31917363
360 31917361_31917363
360 26485673_31917366
360 31917363_31917367
360 31917379_31917368
360 33213311_31917370
360 32049244_31917376
360 32628974_31917379
360 26386060_31928647
360 31928664_31928671
360 26515330_31928705
360 31928671_31928705
360 247807129_31928710
360 33703087_31928710
360 31928732_31928719
360 31928749_31928732
360 26458750_31928749
360 255277857_31930446
360 35207201_31960182
360 35213251_31960182
360 32021986_32021985
360 32892231_32021985
360 252913963_32021987
360 32126034_32021995
360 32126041_32021996
360 32022013_32022012
360 32022014_32022013
360 32022062_32022014
360 251906007_32022037
360 251906278_32022041
360 251906705_32022047
360 32022027_32022056
360 251907773_32022060
360 32022064_32022062
360 32022068_32022066
360 32022079_32022066
360 247810703_32022067
360 32022065_32022067
360 259568988_32022068
360 32022072_32022070
360 253925069_32022076
360 32022611_32022610
360 32022617_32022611
360 251945904_32024822
360 104994357_32048673
360 26458752_32049137
360 26458751_32049137
360 32049159_32049191
360 32049241_32049204
360 32049215_32049212
360 32049213_32049216
360 32049224_32049218
360 32049233_32049218
360 260815108_32049219
360 32049218_32049219
360 32601851_32049223
360 32049226_32049224
360 32049223_32049224
360 29274141_32049226
360 32049219_32049226
360 32049243_32049244
360 32629257_32049253
360 32049210_32049254
360 32049257_32049255
360 32629252_32049257
360 32049273_32049271
360 32049275_32049273
360 35988345_32049275
360 35988348_32049276
360 35966617_32049278
360 35966861_32049278
360 36662876_32049283
360 32049365_32049364
360 32049370_32049364
360 213959230_32049365
360 32049368_32049365
360 32600274_32049366
360 32049364_32049366
360 32049366_32049368
360 255582534_32049384
360 32049390_32049388
360 202032433_32049423
360 32049427_32049425
360 32049423_32049425
360 253174095_32049427
360 32049467_32049469
360 32049469_32049470
360 253168729_32049473
360 253168572_32049473
360 32124458_32124397
360 32124398_32124397
360 32124455_32124398
360 32124397_32124398
360 251909606_32124419
360 251963339_32124419
360 251963338_32124420
360 251963192_32124420
360 251963074_32124423
360 32124426_32124424
360 32124429_32124431
360 260845767_32124437
360 260845809_32124438
360 32216717_32124443
