Time IDCar NodeBegin NodeEnd Distance Velocity Latitude Longitude
5 591631 31156950 31156949 0,164 5,404 52,130332731829 21,1958937514487
5 591840 31156950 31156949 0,156 4,053 52,1302728953426 21,1959444744217
5 591917 31156950 31156949 0,156 5,404 52,1302728953426 21,1959444744217
5 591982 31156950 31156949 0,149 4,053 52,1302130588561 21,1959951973946
5 592007 32049282 32049280 0,071 23,08 52,2257067664357 21,0500358933765
5 592072 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 592077 31156950 31156949 0,149 5,404 52,1302130588561 21,1959951973946
5 592090 32320937 33199595 0,074 0 52,2086228658748 21,0141718320996
5 592137 32675474 32675472 0,104 1,358 52,1124794768128 21,111030765286
5 592247 31156950 31156949 0,141 4,053 52,1301532223696 21,1960459203676
5 592351 132460751 27282383 0,180 21,32 52,14523516759 20,9099618281584
5 592395 99350016 251881722 0,053 15,39 52,2188913386703 21,0945661129502
5 592458 31718366 31718331 0,119 13,10 52,1537198506593 20,9202076547148
5 592590 132460751 27282383 0,059 10,90 52,144391064328 20,9088506604383
5 592718 31156950 31156949 0,141 5,404 52,1301532223696 21,1960459203676
5 592742 35975940 252343345 0,150 27,29 52,2679418101955 21,0012180599473
5 592853 31156950 31156949 0,134 11,07 52,1300933858831 21,1960966433406
5 592862 131642290 131642292 0,214 11,36 52,2545148735509 21,1544211455594
5 592984 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 593062 201867156 32601859 0,030 9,905 52,2019142372611 20,9712451630671
5 593194 251774709 60054506 0,213 11,36 52,3396829001856 20,9557593461129
5 593206 131642290 131642292 0,211 10,94 52,2545293524226 21,1544459603516
5 593322 31718366 31718331 0,119 12,59 52,1537198506593 20,9202076547148
5 593362 253181910 27282448 0,108 19,67 52,1167116119007 20,8629519931924
5 593375 251774709 60054506 0,119 1,361 52,3403674620734 20,9549657101747
5 593379 201867156 32601859 0,062 4,324 52,2017742548292 20,971651808205
5 593403 34461526 254611758 0,089 11,70 52,241146146924 21,1347205787235
5 593468 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 593586 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 593812 216205665 252338939 0,179 12,17 52,3574168747667 21,1333943141395
5 593859 35988349 27166983 0,095 17,41 52,2236115351047 21,0410655641299
5 593959 31156924 31156925 0,129 48,67 52,1804977493208 21,1370591052527
5 594247 34555050 252408161 0,049 9,071 52,2568754446838 20,9481776968628
5 594503 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 594556 32675474 32675472 0,066 8,933 52,1121975677219 21,111337825892
5 594602 32333980 32215286 0,097 39,72 52,2053289463668 21,0798299968328
5 594662 251774709 60054506 0,102 24,21 52,3404964443781 20,954816176591
5 594680 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 594978 32675474 32675472 0,066 9,511 52,1121975677219 21,111337825892
5 595018 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 595037 216205665 252338939 0,069 10 52,3582978055079 21,134120261945
5 595096 31156950 31156949 0,216 5,404 52,1307515872344 21,1955386906379
5 595210 252338966 34813430 0,097 1,362 52,3478733145684 21,1256642216032
5 595244 31156950 31156949 0,134 4,053 52,1300933858831 21,1960966433406
5 595309 251774709 60054506 0,210 10,88 52,3397021593707 20,9557370182828
5 595501 32333980 32215286 0,105 39,72 52,2052943096479 21,0797336451004
5 595622 31156924 31156925 0,136 48,67 52,1804470437294 21,1371320924537
5 595638 31156950 31156949 0,209 4,053 52,130691750748 21,1955894136109
5 595743 31156950 31156949 0,209 5,404 52,130691750748 21,1955894136109
5 595746 31156950 31156949 0,201 4,053 52,1306319142615 21,1956401365838
5 595787 207561458 207561462 0,065 12,02 52,3077492776665 20,9842360597759
5 595939 251774709 60054506 0,205 11,36 52,3397383420775 20,9556950704372
5 596037 34678002 97964818 0,134 7,453 52,2388750175436 20,9454546953056
5 596429 32690965 32690955 0,059 12,63 52,1737827276479 21,1533135524406
5 596452 31156950 31156949 0,201 5,404 52,1306319142615 21,1956401365838
5 596652 32675474 32675472 0,059 10,32 52,1121411859037 21,1113992380133
5 596700 216205665 252338939 0,171 12,17 52,3574771852429 21,1334440141395
5 596727 252338966 34813430 0,183 11,36 52,3485618385462 21,126232888091
5 596775 31803703 33810540 0,135 17,32 52,201553089218 21,0236576784531
5 596941 31718366 31718331 0,021 8,186 52,1531550006593 20,9213133859648
5 597254 31156950 31156949 0,194 4,053 52,130572077775 21,1956908595568
5 597343 216205665 252338939 0,081 12,17 52,3582009109571 21,1340404141395
5 597359 252338966 34813430 0,180 10,89 52,3485411303579 21,1262157847611
5 597465 55461850 26385831 0,415 12,08 52,1325971572648 21,0178145415533
5 597621 132225956 59842186 0,074 0 52,1733305220027 20,8384430243451
5 597796 31156950 31156949 0,194 5,404 52,130572077775 21,1956908595568
5 597914 216205665 252338939 0,738 45,90 52,3529296717217 21,1296965487524
5 597937 253167893 253167894 0,067 12,39 52,2144833120182 20,9557720303714
5 597986 32675474 32675472 0,059 9,618 52,1121411859037 21,1113992380133
5 598028 31718366 31718331 0,014 13,66 52,1531115506593 20,9213984422148
5 598131 31156950 31156949 0,269 5,404 52,1311704426398 21,1951836298271
5 598195 132460751 27282383 0,052 2,776 52,1443448102974 20,9087897721701
5 598256 131642290 131642292 0,206 11,36 52,2545620073744 21,1545019264417
5 598400 132460751 27282383 0,052 9,716 52,1443448102974 20,9087897721701
5 598411 32320963 32320965 0,094 17,15 52,1929644253333 21,0441927621695
5 598483 132225956 59842186 0,059 0 52,1733248220027 20,8386637672023
5 598548 132225956 59842186 0,051 0 52,1733219720027 20,8387741386309
5 598554 34678002 97964818 0,126 16,05 52,2388855275436 20,9453456903056
5 598575 34533187 209094332 0,092 2,791 52,2563866155139 20,9869861844654
5 598585 216205665 252338939 0,312 21,67 52,3563518178793 21,132516633666
5 598609 35969470 35969472 0,064 18,70 52,3031390087436 20,9412602224164
5 598752 131642290 131642292 0,097 15,05 52,2552363597756 21,1556576735868
5 599051 252338966 34813430 0,089 1,362 52,3478126040421 21,125614079498
5 599114 251774709 60054506 0,203 10,88 52,3397576012626 20,9556727426072
5 599136 34696733 34696730 0,089 16,31 52,264361147228 20,9290644417239
5 599288 59842210 252417594 0,054 11,43 52,1738814432731 20,8512544957056
5 599291 31156950 31156949 0,126 9,978 52,1300335493966 21,1961473663136
5 599356 132460751 27282383 0,045 8,328 52,1442909102974 20,9087188188367
5 599440 132460751 27282383 0,045 9,772 52,1442909102974 20,9087188188367
5 599602 131642290 131642292 0,204 10,94 52,2545764862462 21,1545267412339
5 599858 32690965 32690955 0,059 12,63 52,1737827276479 21,1533135524406
5 599877 31156950 31156949 0,261 4,053 52,1311106061534 21,1952343528001
5 600016 31156950 31156949 0,261 5,404 52,1311106061534 21,1952343528001
5 600197 31718366 31718331 0,010 14,94 52,1530925875122 20,9214355638299
5 600238 31156950 31156949 0,254 4,053 52,1310507696669 21,195285075773
5 600239 131642290 131642292 0,097 15,76 52,2552363597756 21,1556576735868
5 600270 251774709 60054506 0,198 11,36 52,3397937839694 20,9556307947615
5 600320 131642290 131642292 0,090 15,05 52,2552834935991 21,1557384544692
5 600326 252338966 34813430 0,175 11,36 52,3485011280199 21,1261827459857
5 600348 251774709 60054506 0,195 10,88 52,3398130431545 20,9556084669315
5 600362 34533187 209094332 0,061 12,02 52,2565235821805 20,9873827511321
