Time Name NodeBegin NodeEnd Velocity NrOfCars
60 31156945_31156947 31156945 31156947 25,85 1500
60 27167600_27167599 27167600 27167599 6,418 3848
60 36663554_36663553 36663554 36663553 7,720 256
60 34555050_252408161 34555050 252408161 4,959 2539
60 34816514_34816516 34816514 34816516 32,88 1853
60 31930544_31930533 31930544 31930533 17,57 654
60 36307573_36307574 36307573 36307574 5,301 889
60 31153918_252343340 31153918 252343340 13,35 280
60 32528050_32528037 32528050 32528037 11,01 14
60 32675842_32675840 32675842 32675840 10,23 2115
60 28396135_32529959 28396135 32529959 14,50 823
60 32333980_32215286 32333980 32215286 25,55 6205
60 34696733_34696730 34696733 34696730 15,13 1769
60 132460751_27282383 132460751 27282383 2,030 9181
60 251774709_60054506 251774709 60054506 19,48 5784
60 32601849_32601847 32601849 32601847 9,673 702
60 252338817_216205781 252338817 216205781 10,12 384
60 34461446_34461444 34461446 34461444 7,229 8343
60 254531306_254531307 254531306 254531307 7,585 2188
60 253167893_253167894 253167893 253167894 6,752 1687
60 252341855_34555652 252341855 34555652 0,997 3037
60 34554753_34554755 34554753 34554755 18,73 648
60 131642290_131642292 131642290 131642292 4,152 684
60 251907737_26485601 251907737 26485601 2,705 2525
60 32676754_32676755 32676754 32676755 13,99 748
60 55461850_26385831 55461850 26385831 22,80 751
60 27167174_34815626 27167174 34815626 21,94 1740
60 35159250_35159252 35159250 35159252 85 0
60 36662877_27166975 36662877 27166975 14,11 3784
60 32690965_32690955 32690965 32690955 15,66 8451
60 35988349_27166983 35988349 27166983 7,548 5204
60 34678020_34678019 34678020 34678019 2,422 1429
60 252338966_34813430 252338966 34813430 3,670 7378
60 251852560_34522515 251852560 34522515 1,032 2734
60 31156666_252406520 31156666 252406520 24,38 1682
60 34461526_254611758 34461526 254611758 5,983 9858
60 261212841_261212839 261212841 261212839 5,928 237
60 34555059_252341930 34555059 252341930 5,733 2655
60 216205665_252338939 216205665 252338939 21,95 15309
60 251881964_27166951 251881964 27166951 5,845 424
60 32572883_32572882 32572883 32572882 11,94 828
60 132225956_59842186 132225956 59842186 1,269 4283
60 32675474_32675472 32675474 32675472 12,44 2087
60 258495253_258499924 258495253 258499924 7,397 542
60 32320937_33199595 32320937 33199595 3,593 598
60 35980955_35966858 35980955 35966858 1,964 696
60 259412303_259412293 259412303 259412293 8,552 2046
60 32333962_32333963 32333962 32333963 5,744 2132
60 31156924_31156925 31156924 31156925 36,66 4523
60 261070705_261070706 261070705 261070706 18,61 686
60 34523712_34523711 34523712 34523711 4,966 5870
60 34533187_209094332 34533187 209094332 4,378 4657
60 32627805_38428535 32627805 38428535 8,189 847
60 31718366_31718331 31718366 31718331 1,515 2518
60 252338828_216205914 252338828 216205914 7,079 132
60 252406516_84843008 252406516 84843008 5,439 1222
60 32629251_32629265 32629251 32629265 7,442 366
60 36266781_36266773 36266781 36266773 10,43 645
60 31803703_33810540 31803703 33810540 4,162 2285
60 31156660_34678010 31156660 34678010 6,369 3092
60 34678002_97964818 34678002 97964818 1,801 3132
60 32335043_26515509 32335043 26515509 0,997 3583
60 99350016_251881722 99350016 251881722 2,916 4389
60 26118690_254513587 26118690 254513587 1,754 1722
60 32594635_32553383 32594635 32553383 8,191 1376
60 31807244_252025700 31807244 252025700 5,529 99
60 31158725_212881026 31158725 212881026 12,12 1494
60 27166924_27166922 27166924 27166922 9,249 635
60 32049282_32049280 32049282 32049280 4,143 9111
60 209167552_209167555 209167552 209167555 10,55 489
60 201867156_32601859 201867156 32601859 8,355 3470
60 254526173_254526132 254526173 254526132 10,07 876
60 59842203_59842200 59842203 59842200 11,81 7253
60 59842210_252417594 59842210 252417594 6,390 6749
60 34678024_34678023 34678024 34678023 5,360 2035
60 247810696_252907846 247810696 252907846 10,12 190
60 253181910_27282448 253181910 27282448 12,87 387
60 207561458_207561462 207561458 207561462 7,013 2241
60 35969470_35969472 35969470 35969472 0,433 1221
60 34539001_252340039 34539001 252340039 21,40 8773
60 29167829_27166897 29167829 27166897 5,953 2636
60 32021985_32021986 32021985 32021986 11,33 360
60 32892124_32628661 32892124 32628661 17,49 2497
60 27167104_27167105 27167104 27167105 12,47 944
60 254531334_254531335 254531334 254531335 9,163 23
60 32528049_32528038 32528049 32528038 70 0
60 254526110_254526091 254526110 254526091 17,94 288
60 32528082_32528068 32528082 32528068 0,998 3164
60 206358265_206358237 206358265 206358237 27,30 1461
60 31156950_31156949 31156950 31156949 16,14 2435
60 31158851_34819772 31158851 34819772 0,370 609
60 257441139_32676762 257441139 32676762 10,20 1428
60 32320949_32627809 32320949 32627809 4,063 11
60 32320963_32320965 32320963 32320965 12,36 2162
60 32912934_32598967 32912934 32598967 1,392 2437
60 32334001_32333999 32334001 32333999 19,97 3192
60 35975940_252343345 35975940 252343345 16,81 4459
60 34522494_34522484 34522494 34522484 9,829 4409
60 32333989_41060238 32333989 41060238 11,85 2985
60 52808302_52808298 52808302 52808298 10,20 857
60 Wawelska 30901479 32329842 2,997 1029
60 Wawelska 32329842 32329843 5,186 1040
60 Wawelska 32329843 54094101 4,464 1029
60 Wawelska 54094101 32329844 2,847 995
60 Wawelska 32329844 32329845 3,828 997
60 Wawelska 32329845 32329846 6,317 998
60 Wawelska 32329846 32329847 1,593 1026
60 Wawelska 32329847 32329848 0,900 1048
60 Wawelska 32329848 32329849 0,603 1065
60 Wawelska 32329849 32329852 0,432 1048
60 Wawelska 32329852 32329851 0,355 998
120 31156945_31156947 31156945 31156947 25,85 1518
120 27167600_27167599 27167600 27167599 6,412 3914
120 36663554_36663553 36663554 36663553 7,720 256
120 34555050_252408161 34555050 252408161 4,955 2569
120 34816514_34816516 34816514 34816516 32,88 1885
120 31930544_31930533 31930544 31930533 17,57 657
120 36307573_36307574 36307573 36307574 5,288 915
120 31153918_252343340 31153918 252343340 13,35 282
120 32528050_32528037 32528050 32528037 11,01 14
120 32675842_32675840 32675842 32675840 10,24 2156
120 28396135_32529959 28396135 32529959 14,48 832
120 32333980_32215286 32333980 32215286 25,54 6313
120 34696733_34696730 34696733 34696730 15,11 1790
120 132460751_27282383 132460751 27282383 2,047 9359
