Time(minutes) NodeBegin NodeEnd NrOfCars
2 34816514_34816516 34816514 34816516 40
2 31930544_31930533 31930544 31930533 1
2 36307573_36307574 36307573 36307574 30
2 31153918_252343340 31153918 252343340 1
2 32528050_32528037 32528050 32528037 0
2 32675842_32675840 32675842 32675840 44
2 28396135_32529959 28396135 32529959 8
2 32333980_32215286 32333980 32215286 95
2 34696733_34696730 34696733 34696730 22
2 132460751_27282383 132460751 27282383 146
2 251774709_60054506 251774709 60054506 93
2 32601849_32601847 32601849 32601847 13
2 252338817_216205781 252338817 216205781 2
2 34461446_34461444 34461446 34461444 143
2 254531306_254531307 254531306 254531307 31
2 253167893_253167894 253167893 253167894 21
2 252341855_34555652 252341855 34555652 46
2 34554753_34554755 34554753 34554755 13
2 131642290_131642292 131642290 131642292 1
2 251907737_26485601 251907737 26485601 48
2 32676754_32676755 32676754 32676755 9
2 55461850_26385831 55461850 26385831 6
2 27167174_34815626 27167174 34815626 18
2 35159250_35159252 35159250 35159252 0
2 36662877_27166975 36662877 27166975 83
2 32690965_32690955 32690965 32690955 173
2 35988349_27166983 35988349 27166983 55
2 34678020_34678019 34678020 34678019 14
2 252338966_34813430 252338966 34813430 52
2 251852560_34522515 251852560 34522515 72
2 31156666_252406520 31156666 252406520 17
2 34461526_254611758 34461526 254611758 168
2 261212841_261212839 261212841 261212839 0
2 34555059_252341930 34555059 252341930 15
2 216205665_252338939 216205665 252338939 409
2 251881964_27166951 251881964 27166951 8
2 32572883_32572882 32572883 32572882 8
2 132225956_59842186 132225956 59842186 64
2 32675474_32675472 32675474 32675472 3
2 258495253_258499924 258495253 258499924 5
2 32320937_33199595 32320937 33199595 2
2 35980955_35966858 35980955 35966858 6
2 259412303_259412293 259412303 259412293 10
2 32333962_32333963 32333962 32333963 18
2 31156924_31156925 31156924 31156925 61
2 261070705_261070706 261070705 261070706 14
2 34523712_34523711 34523712 34523711 93
2 34533187_209094332 34533187 209094332 76
2 32627805_38428535 32627805 38428535 10
2 31718366_31718331 31718366 31718331 43
2 252338828_216205914 252338828 216205914 2
2 252406516_84843008 252406516 84843008 32
2 32629251_32629265 32629251 32629265 0
2 36266781_36266773 36266781 36266773 5
2 31803703_33810540 31803703 33810540 36
2 31156660_34678010 31156660 34678010 38
2 34678002_97964818 34678002 97964818 21
2 32335043_26515509 32335043 26515509 72
2 99350016_251881722 99350016 251881722 82
2 26118690_254513587 26118690 254513587 37
2 32594635_32553383 32594635 32553383 23
2 31807244_252025700 31807244 252025700 0
2 31158725_212881026 31158725 212881026 18
2 27166924_27166922 27166924 27166922 7
2 32049282_32049280 32049282 32049280 182
2 209167552_209167555 209167552 209167555 10
2 201867156_32601859 201867156 32601859 48
2 254526173_254526132 254526173 254526132 44
2 59842203_59842200 59842203 59842200 111
2 59842210_252417594 59842210 252417594 110
2 34678024_34678023 34678024 34678023 31
2 247810696_252907846 247810696 252907846 2
2 253181910_27282448 253181910 27282448 1
2 207561458_207561462 207561458 207561462 60
2 35969470_35969472 35969470 35969472 6
2 34539001_252340039 34539001 252340039 176
2 29167829_27166897 29167829 27166897 23
2 32021985_32021986 32021985 32021986 8
2 32892124_32628661 32892124 32628661 40
2 27167104_27167105 27167104 27167105 8
2 254531334_254531335 254531334 254531335 0
2 32528049_32528038 32528049 32528038 0
2 254526110_254526091 254526110 254526091 1
2 32528082_32528068 32528082 32528068 18
2 206358265_206358237 206358265 206358237 45
2 31156950_31156949 31156950 31156949 21
2 31158851_34819772 31158851 34819772 0
2 257441139_32676762 257441139 32676762 15
2 32320949_32627809 32320949 32627809 0
2 32320963_32320965 32320963 32320965 49
2 32912934_32598967 32912934 32598967 56
2 32334001_32333999 32334001 32333999 79
2 35975940_252343345 35975940 252343345 65
2 34522494_34522484 34522494 34522484 78
2 32333989_41060238 32333989 41060238 37
2 52808302_52808298 52808302 52808298 6
2 Wawelska 30901479 32329842 2
2 Wawelska 32329842 32329843 2
2 Wawelska 32329843 54094101 2
2 Wawelska 54094101 32329844 2
2 Wawelska 32329844 32329845 2
2 Wawelska 32329845 32329846 2
2 Wawelska 32329846 32329847 2
2 Wawelska 32329847 32329848 2
2 Wawelska 32329848 32329849 4
2 Wawelska 32329849 32329852 12
2 Wawelska 32329852 32329851 17
3 31156945_31156947 31156945 31156947 21
3 27167600_27167599 27167600 27167599 40
3 36663554_36663553 36663554 36663553 1
3 34555050_252408161 34555050 252408161 40
3 34816514_34816516 34816514 34816516 25
3 31930544_31930533 31930544 31930533 10
3 36307573_36307574 36307573 36307574 13
3 31153918_252343340 31153918 252343340 3
3 32528050_32528037 32528050 32528037 0
3 32675842_32675840 32675842 32675840 11
3 28396135_32529959 28396135 32529959 19
3 32333980_32215286 32333980 32215286 154
3 34696733_34696730 34696733 34696730 10
3 132460751_27282383 132460751 27282383 38
3 251774709_60054506 251774709 60054506 14
3 32601849_32601847 32601849 32601847 8
3 252338817_216205781 252338817 216205781 3
3 34461446_34461444 34461446 34461444 157
3 254531306_254531307 254531306 254531307 38
3 253167893_253167894 253167893 253167894 30
3 252341855_34555652 252341855 34555652 50
3 34554753_34554755 34554753 34554755 9
3 131642290_131642292 131642290 131642292 0
3 251907737_26485601 251907737 26485601 20
3 32676754_32676755 32676754 32676755 21
3 55461850_26385831 55461850 26385831 7
3 27167174_34815626 27167174 34815626 18
3 35159250_35159252 35159250 35159252 0
3 36662877_27166975 36662877 27166975 19
3 32690965_32690955 32690965 32690955 177
3 35988349_27166983 35988349 27166983 87
3 34678020_34678019 34678020 34678019 18
3 252338966_34813430 252338966 34813430 78
3 251852560_34522515 251852560 34522515 26
3 31156666_252406520 31156666 252406520 23
3 34461526_254611758 34461526 254611758 111
3 261212841_261212839 261212841 261212839 0
3 34555059_252341930 34555059 252341930 51
3 216205665_252338939 216205665 252338939 125
3 251881964_27166951 251881964 27166951 3
3 32572883_32572882 32572883 32572882 3
3 132225956_59842186 132225956 59842186 77
3 32675474_32675472 32675474 32675472 2
3 258495253_258499924 258495253 258499924 5
3 32320937_33199595 32320937 33199595 19
3 35980955_35966858 35980955 35966858 3
3 259412303_259412293 259412303 259412293 10
3 32333962_32333963 32333962 32333963 41
3 31156924_31156925 31156924 31156925 43
3 261070705_261070706 261070705 261070706 6
3 34523712_34523711 34523712 34523711 83
3 34533187_209094332 34533187 209094332 43
3 32627805_38428535 32627805 38428535 11
3 31718366_31718331 31718366 31718331 17
3 252338828_216205914 252338828 216205914 1
3 252406516_84843008 252406516 84843008 4
3 32629251_32629265 32629251 32629265 19
3 36266781_36266773 36266781 36266773 10
3 31803703_33810540 31803703 33810540 37
3 31156660_34678010 31156660 34678010 53
3 34678002_97964818 34678002 97964818 59
3 32335043_26515509 32335043 26515509 33
3 99350016_251881722 99350016 251881722 76
3 26118690_254513587 26118690 254513587 2
3 32594635_32553383 32594635 32553383 17
3 31807244_252025700 31807244 252025700 0
3 31158725_212881026 31158725 212881026 26
3 27166924_27166922 27166924 27166922 5
3 32049282_32049280 32049282 32049280 198
3 209167552_209167555 209167552 209167555 5
3 201867156_32601859 201867156 32601859 52
3 254526173_254526132 254526173 254526132 4
3 59842203_59842200 59842203 59842200 118
3 59842210_252417594 59842210 252417594 114
3 34678024_34678023 34678024 34678023 31
3 247810696_252907846 247810696 252907846 3
3 253181910_27282448 253181910 27282448 3
3 207561458_207561462 207561458 207561462 16
3 35969470_35969472 35969470 35969472 3
3 34539001_252340039 34539001 252340039 187
3 29167829_27166897 29167829 27166897 59
3 32021985_32021986 32021985 32021986 0
3 32892124_32628661 32892124 32628661 17
3 27167104_27167105 27167104 27167105 21
3 254531334_254531335 254531334 254531335 0
3 32528049_32528038 32528049 32528038 0
3 254526110_254526091 254526110 254526091 0
3 32528082_32528068 32528082 32528068 60
3 206358265_206358237 206358265 206358237 17
3 31156950_31156949 31156950 31156949 16
3 31158851_34819772 31158851 34819772 15
3 257441139_32676762 257441139 32676762 29
3 32320949_32627809 32320949 32627809 0
3 32320963_32320965 32320963 32320965 18
3 32912934_32598967 32912934 32598967 10
3 32334001_32333999 32334001 32333999 31
3 35975940_252343345 35975940 252343345 47
3 34522494_34522484 34522494 34522484 38
3 32333989_41060238 32333989 41060238 58
3 52808302_52808298 52808302 52808298 3
3 Wawelska 30901479 32329842 41
3 Wawelska 32329842 32329843 42
3 Wawelska 32329843 54094101 42
3 Wawelska 54094101 32329844 40
3 Wawelska 32329844 32329845 41
3 Wawelska 32329845 32329846 41
3 Wawelska 32329846 32329847 30
3 Wawelska 32329847 32329848 18
3 Wawelska 32329848 32329849 14
3 Wawelska 32329849 32329852 6
3 Wawelska 32329852 32329851 0
4 31156945_31156947 31156945 31156947 38
4 27167600_27167599 27167600 27167599 44
4 36663554_36663553 36663554 36663553 1
4 34555050_252408161 34555050 252408161 31
4 34816514_34816516 34816514 34816516 36
4 31930544_31930533 31930544 31930533 0
4 36307573_36307574 36307573 36307574 10
4 31153918_252343340 31153918 252343340 6
4 32528050_32528037 32528050 32528037 0
4 32675842_32675840 32675842 32675840 74
4 28396135_32529959 28396135 32529959 19
4 32333980_32215286 32333980 32215286 88
4 34696733_34696730 34696733 34696730 35
4 132460751_27282383 132460751 27282383 168
4 251774709_60054506 251774709 60054506 10
4 32601849_32601847 32601849 32601847 9
4 252338817_216205781 252338817 216205781 0
4 34461446_34461444 34461446 34461444 71
4 254531306_254531307 254531306 254531307 35
4 253167893_253167894 253167893 253167894 22
4 252341855_34555652 252341855 34555652 38
4 34554753_34554755 34554753 34554755 11
4 131642290_131642292 131642290 131642292 0
4 251907737_26485601 251907737 26485601 33
4 32676754_32676755 32676754 32676755 15
4 55461850_26385831 55461850 26385831 15
4 27167174_34815626 27167174 34815626 29
4 35159250_35159252 35159250 35159252 0
4 36662877_27166975 36662877 27166975 105
4 32690965_32690955 32690965 32690955 63
4 35988349_27166983 35988349 27166983 42
4 34678020_34678019 34678020 34678019 30
4 252338966_34813430 252338966 34813430 55
4 251852560_34522515 251852560 34522515 56
4 31156666_252406520 31156666 252406520 34
4 34461526_254611758 34461526 254611758 91
4 261212841_261212839 261212841 261212839 1
4 34555059_252341930 34555059 252341930 33
4 216205665_252338939 216205665 252338939 129
4 251881964_27166951 251881964 27166951 1
4 32572883_32572882 32572883 32572882 13
4 132225956_59842186 132225956 59842186 93
4 32675474_32675472 32675474 32675472 3
4 258495253_258499924 258495253 258499924 13
4 32320937_33199595 32320937 33199595 1
4 35980955_35966858 35980955 35966858 3
4 259412303_259412293 259412303 259412293 44
4 32333962_32333963 32333962 32333963 32
4 31156924_31156925 31156924 31156925 79
4 261070705_261070706 261070705 261070706 2
4 34523712_34523711 34523712 34523711 64
4 34533187_209094332 34533187 209094332 51
4 32627805_38428535 32627805 38428535 11
4 31718366_31718331 31718366 31718331 51
4 252338828_216205914 252338828 216205914 0
4 252406516_84843008 252406516 84843008 24
4 32629251_32629265 32629251 32629265 0
4 36266781_36266773 36266781 36266773 11
4 31803703_33810540 31803703 33810540 21
4 31156660_34678010 31156660 34678010 51
4 34678002_97964818 34678002 97964818 15
4 32335043_26515509 32335043 26515509 72
4 99350016_251881722 99350016 251881722 10
4 26118690_254513587 26118690 254513587 29
4 32594635_32553383 32594635 32553383 21
4 31807244_252025700 31807244 252025700 1
4 31158725_212881026 31158725 212881026 21
4 27166924_27166922 27166924 27166922 17
4 32049282_32049280 32049282 32049280 88
4 209167552_209167555 209167552 209167555 7
4 201867156_32601859 201867156 32601859 86
4 254526173_254526132 254526173 254526132 5
4 59842203_59842200 59842203 59842200 76
4 59842210_252417594 59842210 252417594 69
4 34678024_34678023 34678024 34678023 30
4 247810696_252907846 247810696 252907846 3
4 253181910_27282448 253181910 27282448 7
4 207561458_207561462 207561458 207561462 26
4 35969470_35969472 35969470 35969472 6
4 34539001_252340039 34539001 252340039 126
4 29167829_27166897 29167829 27166897 16
4 32021985_32021986 32021985 32021986 4
4 32892124_32628661 32892124 32628661 53
4 27167104_27167105 27167104 27167105 16
4 254531334_254531335 254531334 254531335 1
4 32528049_32528038 32528049 32528038 0
4 254526110_254526091 254526110 254526091 1
4 32528082_32528068 32528082 32528068 24
4 206358265_206358237 206358265 206358237 12
4 31156950_31156949 31156950 31156949 15
4 31158851_34819772 31158851 34819772 0
4 257441139_32676762 257441139 32676762 24
4 32320949_32627809 32320949 32627809 0
4 32320963_32320965 32320963 32320965 26
4 32912934_32598967 32912934 32598967 39
4 32334001_32333999 32334001 32333999 58
4 35975940_252343345 35975940 252343345 55
4 34522494_34522484 34522494 34522484 57
4 32333989_41060238 32333989 41060238 48
4 52808302_52808298 52808302 52808298 2
4 Wawelska 30901479 32329842 2
4 Wawelska 32329842 32329843 2
4 Wawelska 32329843 54094101 2
4 Wawelska 54094101 32329844 2
4 Wawelska 32329844 32329845 2
4 Wawelska 32329845 32329846 2
4 Wawelska 32329846 32329847 13
4 Wawelska 32329847 32329848 25
4 Wawelska 32329848 32329849 29
4 Wawelska 32329849 32329852 37
4 Wawelska 32329852 32329851 43
5 31156945_31156947 31156945 31156947 22
5 27167600_27167599 27167600 27167599 78
5 36663554_36663553 36663554 36663553 4
5 34555050_252408161 34555050 252408161 47
5 34816514_34816516 34816514 34816516 21
5 31930544_31930533 31930544 31930533 10
5 36307573_36307574 36307573 36307574 3
5 31153918_252343340 31153918 252343340 12
5 32528050_32528037 32528050 32528037 0
5 32675842_32675840 32675842 32675840 10
5 28396135_32529959 28396135 32529959 6
5 32333980_32215286 32333980 32215286 52
5 34696733_34696730 34696733 34696730 0
5 132460751_27282383 132460751 27282383 31
5 251774709_60054506 251774709 60054506 8
5 32601849_32601847 32601849 32601847 8
5 252338817_216205781 252338817 216205781 1
5 34461446_34461444 34461446 34461444 115
5 254531306_254531307 254531306 254531307 38
5 253167893_253167894 253167893 253167894 28
5 252341855_34555652 252341855 34555652 53
5 34554753_34554755 34554753 34554755 8
5 131642290_131642292 131642290 131642292 1
5 251907737_26485601 251907737 26485601 29
5 32676754_32676755 32676754 32676755 20
5 55461850_26385831 55461850 26385831 3
5 27167174_34815626 27167174 34815626 9
5 35159250_35159252 35159250 35159252 0
5 36662877_27166975 36662877 27166975 17
5 32690965_32690955 32690965 32690955 51
5 35988349_27166983 35988349 27166983 127
5 34678020_34678019 34678020 34678019 18
5 252338966_34813430 252338966 34813430 36
5 251852560_34522515 251852560 34522515 7
5 31156666_252406520 31156666 252406520 15
5 34461526_254611758 34461526 254611758 100
5 261212841_261212839 261212841 261212839 0
5 34555059_252341930 34555059 252341930 71
5 216205665_252338939 216205665 252338939 118
5 251881964_27166951 251881964 27166951 1
5 32572883_32572882 32572883 32572882 4
5 132225956_59842186 132225956 59842186 14
5 32675474_32675472 32675474 32675472 3
5 258495253_258499924 258495253 258499924 5
5 32320937_33199595 32320937 33199595 12
5 35980955_35966858 35980955 35966858 1
5 259412303_259412293 259412303 259412293 26
5 32333962_32333963 32333962 32333963 54
5 31156924_31156925 31156924 31156925 52
5 261070705_261070706 261070705 261070706 1
5 34523712_34523711 34523712 34523711 56
5 34533187_209094332 34533187 209094332 95
5 32627805_38428535 32627805 38428535 7
5 31718366_31718331 31718366 31718331 10
5 252338828_216205914 252338828 216205914 0
5 252406516_84843008 252406516 84843008 10
5 32629251_32629265 32629251 32629265 5
5 36266781_36266773 36266781 36266773 14
5 31803703_33810540 31803703 33810540 38
5 31156660_34678010 31156660 34678010 33
5 34678002_97964818 34678002 97964818 76
5 32335043_26515509 32335043 26515509 22
5 99350016_251881722 99350016 251881722 64
5 26118690_254513587 26118690 254513587 12
5 32594635_32553383 32594635 32553383 23
5 31807244_252025700 31807244 252025700 0
5 31158725_212881026 31158725 212881026 25
5 27166924_27166922 27166924 27166922 7
5 32049282_32049280 32049282 32049280 49
5 209167552_209167555 209167552 209167555 10
5 201867156_32601859 201867156 32601859 33
5 254526173_254526132 254526173 254526132 4
5 59842203_59842200 59842203 59842200 12
5 59842210_252417594 59842210 252417594 9
5 34678024_34678023 34678024 34678023 25
5 247810696_252907846 247810696 252907846 2
5 253181910_27282448 253181910 27282448 8
5 207561458_207561462 207561458 207561462 22
5 35969470_35969472 35969470 35969472 15
5 34539001_252340039 34539001 252340039 88
5 29167829_27166897 29167829 27166897 65
5 32021985_32021986 32021985 32021986 3
5 32892124_32628661 32892124 32628661 26
5 27167104_27167105 27167104 27167105 16
5 254531334_254531335 254531334 254531335 0
5 32528049_32528038 32528049 32528038 0
5 254526110_254526091 254526110 254526091 2
5 32528082_32528068 32528082 32528068 63
5 206358265_206358237 206358265 206358237 16
5 31156950_31156949 31156950 31156949 14
5 31158851_34819772 31158851 34819772 23
5 257441139_32676762 257441139 32676762 14
5 32320949_32627809 32320949 32627809 0
5 32320963_32320965 32320963 32320965 21
5 32912934_32598967 32912934 32598967 30
5 32334001_32333999 32334001 32333999 37
5 35975940_252343345 35975940 252343345 50
5 34522494_34522484 34522494 34522484 96
5 32333989_41060238 32333989 41060238 49
5 52808302_52808298 52808302 52808298 0
5 Wawelska 30901479 32329842 23
5 Wawelska 32329842 32329843 22
5 Wawelska 32329843 54094101 22
5 Wawelska 54094101 32329844 20
5 Wawelska 32329844 32329845 20
5 Wawelska 32329845 32329846 20
5 Wawelska 32329846 32329847 20
5 Wawelska 32329847 32329848 18
5 Wawelska 32329848 32329849 14
5 Wawelska 32329849 32329852 6
5 Wawelska 32329852 32329851 0
6 31156945_31156947 31156945 31156947 35
6 27167600_27167599 27167600 27167599 58
6 36663554_36663553 36663554 36663553 1
6 34555050_252408161 34555050 252408161 32
6 34816514_34816516 34816514 34816516 26
6 31930544_31930533 31930544 31930533 0
6 36307573_36307574 36307573 36307574 3
6 31153918_252343340 31153918 252343340 0
6 32528050_32528037 32528050 32528037 0
6 32675842_32675840 32675842 32675840 57
6 28396135_32529959 28396135 32529959 5
6 32333980_32215286 32333980 32215286 20
6 34696733_34696730 34696733 34696730 36
6 132460751_27282383 132460751 27282383 181
6 251774709_60054506 251774709 60054506 20
6 32601849_32601847 32601849 32601847 4
6 252338817_216205781 252338817 216205781 27
6 34461446_34461444 34461446 34461444 30
6 254531306_254531307 254531306 254531307 33
6 253167893_253167894 253167893 253167894 18
6 252341855_34555652 252341855 34555652 37
6 34554753_34554755 34554753 34554755 10
6 131642290_131642292 131642290 131642292 0
6 251907737_26485601 251907737 26485601 34
6 32676754_32676755 32676754 32676755 7
6 55461850_26385831 55461850 26385831 16
6 27167174_34815626 27167174 34815626 14
6 35159250_35159252 35159250 35159252 0
6 36662877_27166975 36662877 27166975 93
6 32690965_32690955 32690965 32690955 58
6 35988349_27166983 35988349 27166983 41
6 34678020_34678019 34678020 34678019 18
6 252338966_34813430 252338966 34813430 40
6 251852560_34522515 251852560 34522515 66
6 31156666_252406520 31156666 252406520 20
6 34461526_254611758 34461526 254611758 57
6 261212841_261212839 261212841 261212839 0
6 34555059_252341930 34555059 252341930 36
6 216205665_252338939 216205665 252338939 77
6 251881964_27166951 251881964 27166951 0
6 32572883_32572882 32572883 32572882 5
6 132225956_59842186 132225956 59842186 26
6 32675474_32675472 32675474 32675472 1
6 258495253_258499924 258495253 258499924 9
6 32320937_33199595 32320937 33199595 0
6 35980955_35966858 35980955 35966858 2
6 259412303_259412293 259412303 259412293 4
6 32333962_32333963 32333962 32333963 33
6 31156924_31156925 31156924 31156925 63
6 261070705_261070706 261070705 261070706 10
6 34523712_34523711 34523712 34523711 42
6 34533187_209094332 34533187 209094332 41
6 32627805_38428535 32627805 38428535 11
6 31718366_31718331 31718366 31718331 41
6 252338828_216205914 252338828 216205914 6
6 252406516_84843008 252406516 84843008 20
6 32629251_32629265 32629251 32629265 0
6 36266781_36266773 36266781 36266773 16
6 31803703_33810540 31803703 33810540 22
6 31156660_34678010 31156660 34678010 34
6 34678002_97964818 34678002 97964818 1
6 32335043_26515509 32335043 26515509 49
6 99350016_251881722 99350016 251881722 20
6 26118690_254513587 26118690 254513587 21
6 32594635_32553383 32594635 32553383 20
6 31807244_252025700 31807244 252025700 0
6 31158725_212881026 31158725 212881026 22
6 27166924_27166922 27166924 27166922 3
6 32049282_32049280 32049282 32049280 13
6 209167552_209167555 209167552 209167555 5
6 201867156_32601859 201867156 32601859 37
6 254526173_254526132 254526173 254526132 3
6 59842203_59842200 59842203 59842200 18
6 59842210_252417594 59842210 252417594 17
6 34678024_34678023 34678024 34678023 22
6 247810696_252907846 247810696 252907846 3
6 253181910_27282448 253181910 27282448 6
6 207561458_207561462 207561458 207561462 40
6 35969470_35969472 35969470 35969472 20
6 34539001_252340039 34539001 252340039 78
6 29167829_27166897 29167829 27166897 18
6 32021985_32021986 32021985 32021986 4
6 32892124_32628661 32892124 32628661 55
6 27167104_27167105 27167104 27167105 12
6 254531334_254531335 254531334 254531335 0
6 32528049_32528038 32528049 32528038 0
6 254526110_254526091 254526110 254526091 0
6 32528082_32528068 32528082 32528068 24
6 206358265_206358237 206358265 206358237 28
6 31156950_31156949 31156950 31156949 17
6 31158851_34819772 31158851 34819772 0
6 257441139_32676762 257441139 32676762 3
6 32320949_32627809 32320949 32627809 0
6 32320963_32320965 32320963 32320965 16
6 32912934_32598967 32912934 32598967 48
6 32334001_32333999 32334001 32333999 51
6 35975940_252343345 35975940 252343345 55
6 34522494_34522484 34522494 34522484 33
6 32333989_41060238 32333989 41060238 7
6 52808302_52808298 52808302 52808298 4
6 Wawelska 30901479 32329842 3
6 Wawelska 32329842 32329843 3
6 Wawelska 32329843 54094101 0
6 Wawelska 54094101 32329844 0
6 Wawelska 32329844 32329845 0
6 Wawelska 32329845 32329846 0
6 Wawelska 32329846 32329847 0
6 Wawelska 32329847 32329848 2
6 Wawelska 32329848 32329849 6
6 Wawelska 32329849 32329852 14
6 Wawelska 32329852 32329851 20
