Time IDCar NodeBegin NodeEnd Distance Velocity Latitude Longitude
5 666071 31156950 31156949 0,164 5,404 52,130332731829 21,1958937514487
5 666280 31156950 31156949 0,156 4,053 52,1302728953426 21,1959444744217
5 666357 31156950 31156949 0,156 5,404 52,1302728953426 21,1959444744217
5 666422 31156950 31156949 0,149 4,053 52,1302130588561 21,1959951973946
5 666447 32049282 32049280 0,071 23,08 52,2257067664357 21,0500358933765
5 666512 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 666517 31156950 31156949 0,149 5,404 52,1302130588561 21,1959951973946
5 666530 32320937 33199595 0,074 0 52,2086228658748 21,0141718320996
5 666577 32675474 32675472 0,104 1,358 52,1124794768128 21,111030765286
5 666687 31156950 31156949 0,141 4,053 52,1301532223696 21,1960459203676
5 666791 132460751 27282383 0,180 21,32 52,14523516759 20,9099618281584
5 666835 99350016 251881722 0,053 15,39 52,2188913386703 21,0945661129502
5 666898 31718366 31718331 0,119 13,10 52,1537198506593 20,9202076547148
5 667030 132460751 27282383 0,059 10,90 52,144391064328 20,9088506604383
5 667158 31156950 31156949 0,141 5,404 52,1301532223696 21,1960459203676
5 667182 35975940 252343345 0,150 27,29 52,2679418101955 21,0012180599473
5 667293 31156950 31156949 0,134 11,07 52,1300933858831 21,1960966433406
5 667302 131642290 131642292 0,214 11,36 52,2545148735509 21,1544211455594
5 667424 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 667502 201867156 32601859 0,030 9,905 52,2019142372611 20,9712451630671
5 667634 251774709 60054506 0,213 11,36 52,3396829001856 20,9557593461129
5 667646 131642290 131642292 0,211 10,94 52,2545293524226 21,1544459603516
5 667762 31718366 31718331 0,119 12,59 52,1537198506593 20,9202076547148
5 667802 253181910 27282448 0,108 19,67 52,1167116119007 20,8629519931924
5 667815 251774709 60054506 0,119 1,361 52,3403674620734 20,9549657101747
5 667819 201867156 32601859 0,062 4,324 52,2017742548292 20,971651808205
5 667843 34461526 254611758 0,089 11,70 52,241146146924 21,1347205787235
5 667908 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 668026 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 668252 216205665 252338939 0,179 12,17 52,3574168747667 21,1333943141395
5 668299 35988349 27166983 0,095 17,41 52,2236115351047 21,0410655641299
5 668399 31156924 31156925 0,129 48,67 52,1804977493208 21,1370591052527
5 668687 34555050 252408161 0,049 9,071 52,2568754446838 20,9481776968628
5 668943 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 668996 32675474 32675472 0,066 8,933 52,1121975677219 21,111337825892
5 669042 32333980 32215286 0,097 39,72 52,2053289463668 21,0798299968328
5 669102 251774709 60054506 0,102 24,21 52,3404964443781 20,954816176591
5 669120 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 669418 32675474 32675472 0,066 9,511 52,1121975677219 21,111337825892
5 669458 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 669477 216205665 252338939 0,069 10 52,3582978055079 21,134120261945
5 669536 31156950 31156949 0,216 5,404 52,1307515872344 21,1955386906379
5 669650 252338966 34813430 0,097 1,362 52,3478733145684 21,1256642216032
5 669684 31156950 31156949 0,134 4,053 52,1300933858831 21,1960966433406
5 669749 251774709 60054506 0,210 10,88 52,3397021593707 20,9557370182828
5 669941 32333980 32215286 0,105 39,72 52,2052943096479 21,0797336451004
5 670062 31156924 31156925 0,136 48,67 52,1804470437294 21,1371320924537
5 670078 31156950 31156949 0,209 4,053 52,130691750748 21,1955894136109
5 670183 31156950 31156949 0,209 5,404 52,130691750748 21,1955894136109
5 670186 31156950 31156949 0,201 4,053 52,1306319142615 21,1956401365838
5 670227 207561458 207561462 0,065 12,02 52,3077492776665 20,9842360597759
5 670379 251774709 60054506 0,205 11,36 52,3397383420775 20,9556950704372
5 670477 34678002 97964818 0,134 7,453 52,2388750175436 20,9454546953056
5 670869 32690965 32690955 0,059 12,63 52,1737827276479 21,1533135524406
5 670892 31156950 31156949 0,201 5,404 52,1306319142615 21,1956401365838
5 671092 32675474 32675472 0,059 10,32 52,1121411859037 21,1113992380133
5 671140 216205665 252338939 0,171 12,17 52,3574771852429 21,1334440141395
5 671167 252338966 34813430 0,183 11,36 52,3485618385462 21,126232888091
5 671215 31803703 33810540 0,135 17,32 52,201553089218 21,0236576784531
5 671381 31718366 31718331 0,021 8,186 52,1531550006593 20,9213133859648
5 671694 31156950 31156949 0,194 4,053 52,130572077775 21,1956908595568
5 671783 216205665 252338939 0,081 12,17 52,3582009109571 21,1340404141395
5 671799 252338966 34813430 0,180 10,89 52,3485411303579 21,1262157847611
5 671905 55461850 26385831 0,415 12,08 52,1325971572648 21,0178145415533
5 672061 132225956 59842186 0,074 0 52,1733305220027 20,8384430243451
5 672236 31156950 31156949 0,194 5,404 52,130572077775 21,1956908595568
5 672354 216205665 252338939 0,738 45,90 52,3529296717217 21,1296965487524
5 672377 253167893 253167894 0,067 12,39 52,2144833120182 20,9557720303714
5 672426 32675474 32675472 0,059 9,618 52,1121411859037 21,1113992380133
5 672468 31718366 31718331 0,014 13,66 52,1531115506593 20,9213984422148
5 672571 31156950 31156949 0,269 5,404 52,1311704426398 21,1951836298271
5 672635 132460751 27282383 0,052 2,776 52,1443448102974 20,9087897721701
5 672696 131642290 131642292 0,206 11,36 52,2545620073744 21,1545019264417
5 672840 132460751 27282383 0,052 9,716 52,1443448102974 20,9087897721701
5 672851 32320963 32320965 0,094 17,15 52,1929644253333 21,0441927621695
5 672923 132225956 59842186 0,059 0 52,1733248220027 20,8386637672023
5 672988 132225956 59842186 0,051 0 52,1733219720027 20,8387741386309
5 672994 34678002 97964818 0,126 16,05 52,2388855275436 20,9453456903056
5 673015 34533187 209094332 0,092 2,791 52,2563866155139 20,9869861844654
5 673025 216205665 252338939 0,312 21,67 52,3563518178793 21,132516633666
5 673049 35969470 35969472 0,064 18,70 52,3031390087436 20,9412602224164
5 673192 131642290 131642292 0,100 15,52 52,2552202824305 21,1556301192315
5 673491 252338966 34813430 0,089 1,362 52,3478126040421 21,125614079498
5 673554 251774709 60054506 0,203 10,88 52,3397576012626 20,9556727426072
5 673576 34696733 34696730 0,089 16,31 52,264361147228 20,9290644417239
5 673728 59842210 252417594 0,054 11,43 52,1738814432731 20,8512544957056
5 673731 31156950 31156949 0,126 9,978 52,1300335493966 21,1961473663136
5 673796 132460751 27282383 0,045 8,328 52,1442909102974 20,9087188188367
5 673880 132460751 27282383 0,045 9,772 52,1442909102974 20,9087188188367
5 674042 131642290 131642292 0,204 10,94 52,2545764862462 21,1545267412339
5 674298 32690965 32690955 0,059 12,63 52,1737827276479 21,1533135524406
5 674317 31156950 31156949 0,261 4,053 52,1311106061534 21,1952343528001
5 674456 31156950 31156949 0,261 5,404 52,1311106061534 21,1952343528001
5 674637 31718366 31718331 0,010 14,94 52,1530925875122 20,9214355638299
5 674678 31156950 31156949 0,254 4,053 52,1310507696669 21,195285075773
5 674679 131642290 131642292 0,097 15,76 52,2552363597756 21,1556576735868
5 674710 251774709 60054506 0,198 11,36 52,3397937839694 20,9556307947615
5 674760 131642290 131642292 0,092 15,54 52,2552666170174 21,1557095303323
5 674766 252338966 34813430 0,175 11,36 52,3485011280199 21,1261827459857
5 674788 251774709 60054506 0,195 10,88 52,3398130431545 20,9556084669315
5 674802 34533187 209094332 0,061 12,02 52,2565235821805 20,9873827511321
5 674873 31156950 31156949 0,254 5,404 52,1310507696669 21,195285075773
5 674894 32675474 32675472 0,089 1,358 52,1123667131765 21,1111535895284
5 674950 131642290 131642292 0,199 11,36 52,2546091411979 21,1545827073241
5 675050 32675474 32675472 0,182 11,35 52,1130635468066 21,110394585425
5 675060 32675474 32675472 0,180 10,87 52,1130432949947 21,1104166440739
5 675078 32335043 26515509 0,063 11,66 52,1833958938778 20,9784989925961
5 675116 131642290 131642292 0,042 7,783 52,2555810255429 21,1562483832453
5 675184 32675474 32675472 0,175 11,35 52,1130071649884 21,1104559975462
5 675269 132225956 59842186 0,081 0 52,1733333720027 20,8383326529166
5 675379 31156950 31156949 0,246 4,053 52,1309909331804 21,195335798746
5 675457 216205665 252338939 0,152 10 52,3576343902698 21,133573561945
5 675466 216205665 252338939 0,159 10 52,3575740797936 21,133523861945
5 675513 251774709 60054506 0,190 11,36 52,3398492258613 20,9555665190858
5 675766 31156950 31156949 0,246 5,404 52,1309909331804 21,195335798746
5 675873 131642290 131642292 0,090 15,98 52,2552834935991 21,1557384544692
5 675974 132225956 59842186 0,074 0 52,1733305220027 20,8384430243451
5 676012 59842203 59842200 0,128 10,38 52,1746871636356 20,8611085278374
5 676043 34523712 34523711 0,021 15,71 52,2744956632068 21,042958184003
5 676118 131642290 131642292 0,034 7,783 52,255628958603 21,1563305339092
5 676195 31156950 31156949 0,321 5,404 52,1315892980453 21,1948285690163
5 676328 132225956 59842186 0,066 0 52,1733276720027 20,8385533957737
5 676413 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 676459 251774709 60054506 0,097 0,368 52,3405337877491 20,9547728831477
5 676609 252338966 34813430 0,089 1,362 52,3478126040421 21,125614079498
5 676787 252338966 34813430 0,046 21,43 52,3474654448182 21,1253273533666
5 676937 132225956 59842186 0,051 0 52,1733219720027 20,8387741386309
5 676991 252338966 34813430 0,173 10,89 52,3484804198316 21,1261656426559
5 677166 131642290 131642292 0,196 10,94 52,2546236200697 21,1546075221163
