Time IDCar NodeBegin NodeEnd Distance Velocity Latitude Longitude
5 852171 31156950 31156949 0,164 5,404 52,130332731829 21,1958937514487
5 852380 31156950 31156949 0,156 4,053 52,1302728953426 21,1959444744217
5 852457 31156950 31156949 0,156 5,404 52,1302728953426 21,1959444744217
5 852522 31156950 31156949 0,149 4,053 52,1302130588561 21,1959951973946
5 852547 32049282 32049280 0,071 23,08 52,2257067664357 21,0500358933765
5 852612 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 852617 31156950 31156949 0,149 5,404 52,1302130588561 21,1959951973946
5 852630 32320937 33199595 0,074 0 52,2086228658748 21,0141718320996
5 852677 32675474 32675472 0,104 1,358 52,1124794768128 21,111030765286
5 852787 31156950 31156949 0,141 4,053 52,1301532223696 21,1960459203676
5 852891 132460751 27282383 0,180 21,32 52,14523516759 20,9099618281584
5 852935 99350016 251881722 0,053 15,39 52,2188913386703 21,0945661129502
5 852998 31718366 31718331 0,119 13,10 52,1537198506593 20,9202076547148
5 853130 132460751 27282383 0,059 10,90 52,144391064328 20,9088506604383
5 853258 31156950 31156949 0,141 5,404 52,1301532223696 21,1960459203676
5 853282 35975940 252343345 0,150 27,29 52,2679418101955 21,0012180599473
5 853393 31156950 31156949 0,134 11,07 52,1300933858831 21,1960966433406
5 853402 131642290 131642292 0,214 11,36 52,2545148735509 21,1544211455594
5 853524 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 853602 201867156 32601859 0,030 9,905 52,2019142372611 20,9712451630671
5 853734 251774709 60054506 0,213 11,36 52,3396829001856 20,9557593461129
5 853746 131642290 131642292 0,211 10,94 52,2545293524226 21,1544459603516
5 853862 31718366 31718331 0,119 12,59 52,1537198506593 20,9202076547148
5 853902 253181910 27282448 0,108 19,67 52,1167116119007 20,8629519931924
5 853915 251774709 60054506 0,119 1,361 52,3403674620734 20,9549657101747
5 853919 201867156 32601859 0,062 4,324 52,2017742548292 20,971651808205
5 853943 34461526 254611758 0,089 11,70 52,241146146924 21,1347205787235
5 854008 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 854126 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 854352 216205665 252338939 0,179 12,17 52,3574168747667 21,1333943141395
5 854399 35988349 27166983 0,095 17,41 52,2236115351047 21,0410655641299
5 854499 31156924 31156925 0,129 48,67 52,1804977493208 21,1370591052527
5 854787 34555050 252408161 0,049 9,071 52,2568754446838 20,9481776968628
5 855043 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 855096 32675474 32675472 0,066 8,933 52,1121975677219 21,111337825892
5 855142 32333980 32215286 0,097 39,72 52,2053289463668 21,0798299968328
5 855202 251774709 60054506 0,102 24,21 52,3404964443781 20,954816176591
5 855220 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 855518 32675474 32675472 0,066 9,511 52,1121975677219 21,111337825892
5 855558 132225956 59842186 0,014 2,714 52,1733077220027 20,8393259957737
5 855577 216205665 252338939 0,069 10 52,3582978055079 21,134120261945
