Time IDCar NodeBegin NodeEnd Distance Velocity Latitude Longitude
5 814951 31156950 31156949 0,164 5,404 52,130332731829 21,1958937514487
5 815160 31156950 31156949 0,156 4,053 52,1302728953426 21,1959444744217
5 815237 31156950 31156949 0,156 5,404 52,1302728953426 21,1959444744217
5 815302 31156950 31156949 0,149 4,053 52,1302130588561 21,1959951973946
5 815327 32049282 32049280 0,071 23,08 52,2257067664357 21,0500358933765
5 815392 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 815397 31156950 31156949 0,149 5,404 52,1302130588561 21,1959951973946
5 815410 32320937 33199595 0,074 0 52,2086228658748 21,0141718320996
5 815457 32675474 32675472 0,104 1,358 52,1124794768128 21,111030765286
5 815567 31156950 31156949 0,141 4,053 52,1301532223696 21,1960459203676
5 815671 132460751 27282383 0,180 21,32 52,14523516759 20,9099618281584
5 815715 99350016 251881722 0,053 15,39 52,2188913386703 21,0945661129502
5 815778 31718366 31718331 0,119 13,10 52,1537198506593 20,9202076547148
5 815910 132460751 27282383 0,059 10,90 52,144391064328 20,9088506604383
5 816038 31156950 31156949 0,141 5,404 52,1301532223696 21,1960459203676
5 816062 35975940 252343345 0,150 27,29 52,2679418101955 21,0012180599473
5 816173 31156950 31156949 0,134 11,07 52,1300933858831 21,1960966433406
5 816182 131642290 131642292 0,214 11,36 52,2545148735509 21,1544211455594
5 816304 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 816382 201867156 32601859 0,030 9,905 52,2019142372611 20,9712451630671
5 816514 251774709 60054506 0,213 11,36 52,3396829001856 20,9557593461129
5 816526 131642290 131642292 0,211 10,94 52,2545293524226 21,1544459603516
5 816642 31718366 31718331 0,119 12,59 52,1537198506593 20,9202076547148
5 816682 253181910 27282448 0,108 19,67 52,1167116119007 20,8629519931924
5 816695 251774709 60054506 0,119 1,361 52,3403674620734 20,9549657101747
5 816699 201867156 32601859 0,062 4,324 52,2017742548292 20,971651808205
5 816723 34461526 254611758 0,089 11,70 52,241146146924 21,1347205787235
5 816788 132225956 59842186 0,089 0 52,1733362220027 20,838222281488
5 816906 32675474 32675472 0,097 1,358 52,1124230949947 21,1110921774072
5 817132 216205665 252338939 0,179 12,17 52,3574168747667 21,1333943141395
5 817179 35988349 27166983 0,095 17,41 52,2236115351047 21,0410655641299
5 817279 31156924 31156925 0,129 48,67 52,1804977493208 21,1370591052527
5 817567 34555050 252408161 0,049 9,071 52,2568754446838 20,9481776968628
5 817823 132225956 59842186 0,021 2,714 52,1733105720027 20,8392156243451
5 817876 32675474 32675472 0,066 8,933 52,1121975677219 21,111337825892
5 817922 32333980 32215286 0,097 39,72 52,2053289463668 21,0798299968328
